Longitude,Latitude,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Year,Cluster,Day_of_year,Hour
-0.149511,51.500496,5,1,3,302,30,2012,22,236,17
-0.14189,51.50721,7,1,3,4,30,2012,51,238,14
-0.158504,51.513317,3,1,3,40,30,2012,296,241,7
-0.124424,51.500906,2,1,3,302,30,2012,44,240,16
-0.150842,51.503215,5,1,3,4202,30,2012,30,236,19
-0.133818,51.510769,7,1,3,401,30,2012,448,245,2
-0.150838,51.503304,3,1,3,4202,30,2012,30,248,11
-0.150833,51.514096,3,1,3,40,30,2012,33,248,11
-0.127636,51.506893,3,1,3,3212,30,2012,26,248,17
-0.189638,51.535024,4,2,4,414,30,2012,41,249,23
-0.129243,51.513393,5,1,3,400,30,2012,23,250,2
-0.165701,51.520714,6,1,3,501,30,2012,43,251,7
-0.165557,51.520712,6,1,3,501,30,2012,43,251,23
-0.148002,51.523493,7,1,3,501,50,2012,20,252,14
-0.170066,51.519703,3,1,3,404,70,2012,49,255,13
-0.127773,51.507075,6,1,3,3212,30,2012,26,244,14
-0.159611,51.521608,5,1,3,501,30,2012,50,257,17
-0.156184,51.51364,1,1,3,41,30,2012,35,253,19
-0.128468,51.511223,2,1,3,400,30,2012,464,198,20
-0.148002,51.523493,5,1,3,501,50,2012,20,257,10
-0.164311,51.515836,3,1,3,5,30,2012,53,262,10
-0.144319,51.514802,2,1,3,40,30,2012,45,247,17
-0.165712,51.516847,1,1,3,5,30,2012,32,260,15
-0.136265,51.503793,4,1,5,0,30,2012,29,263,9
-0.16402,51.515921,2,1,5,0,30,2012,53,261,21
-0.125106,51.494802,4,1,3,3212,30,2012,25,263,13
-0.155752,51.513633,2,1,3,40,30,2012,35,268,17
-0.150968,51.503666,1,1,3,4202,30,2012,30,274,15
-0.127031,51.507603,7,1,3,4,30,2012,26,273,8
-0.150978,51.503397,3,1,3,4202,30,2012,30,276,3
-0.130854,51.516297,5,1,3,40,30,2012,21,278,19
-0.201536,51.522168,5,1,3,4207,30,2012,10,271,17
-0.165272,51.520617,2,1,3,501,50,2012,43,268,12
-0.130414,51.51647,4,2,3,400,30,2012,21,277,7
-0.153318,51.523937,3,1,6,0,30,2012,40,276,19
-0.142284,51.515219,3,1,3,40,30,2012,19,283,17
-0.144315,51.514892,5,1,3,40,30,2012,45,285,12
-0.130566,51.516292,5,2,3,40,30,2012,21,285,22
-0.129978,51.488405,7,1,3,3212,50,2012,34,287,18
-0.149799,51.5005,3,1,3,302,30,2012,22,290,15
-0.15303,51.523932,7,1,6,0,30,2012,40,294,20
-0.149824,51.485663,3,12,3,3212,30,2012,7,290,9
-0.129258,51.513034,3,1,3,401,30,2012,23,297,0
-0.169918,51.519791,4,1,3,5,50,2012,49,298,10
-0.201454,51.524235,4,1,4,414,30,2012,39,298,16
-0.142432,51.515132,4,1,3,40,30,2012,19,298,18
-0.133962,51.510771,7,1,3,401,30,2012,448,301,3
-0.12644,51.500939,3,1,3,302,30,2012,52,304,11
-0.13071,51.516294,4,2,3,40,30,2012,21,298,16
-0.181401,51.528242,2,1,5,0,30,2012,37,310,7
-0.141852,51.515213,2,1,3,40,30,2012,19,310,10
-0.160415,51.501656,2,1,3,4,30,2012,2,310,13
-0.149939,51.500592,6,1,6,0,30,2012,22,300,13
-0.127334,51.507248,5,1,4,308,30,2012,26,313,9
-0.163075,51.49999,4,12,3,4,30,2012,9,305,8
-0.15662,51.513557,3,1,3,40,30,2012,35,311,20
-0.129395,51.488576,3,1,3,202,30,2012,34,318,21
-0.142144,51.515127,3,1,3,40,30,2012,19,318,19
-0.165701,51.520714,4,1,3,501,30,2012,43,319,8
-0.150978,51.503397,3,1,3,4202,30,2012,30,290,21
-0.115672,51.510478,5,1,3,3211,30,2012,24,320,2
-0.136128,51.503611,5,1,5,0,30,2012,29,306,20
-0.129543,51.488488,2,1,3,202,30,2012,34,324,8
-0.155896,51.513636,5,1,3,40,30,2012,35,313,4
-0.144459,51.514894,3,1,3,40,30,2012,45,325,13
-0.135661,51.497399,6,1,3,302,30,2012,48,328,12
-0.149795,51.50059,1,1,3,302,30,2012,22,330,0
